    alpha        CL         CD         CDi        CD0        CY         CM         Cl         Cn        L/D  
     12.50   1.644316   0.226955   0.127760   0.043057   0.000000   1.478122  -0.000000  -0.000000   7.245114
     12.88   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     13.13   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     13.38   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     13.62   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     13.88   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     14.12   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     14.38   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     14.62   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     14.87   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     15.12   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     15.37   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     15.63   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     15.87   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     16.13   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     16.38   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     16.62   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     16.88   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     17.12   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     17.38   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     17.62   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     17.88   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     18.12   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     18.38   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     18.62   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     18.88   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     19.12   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     19.38   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     19.62   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     19.87   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
     19.94   0.000000   0.056139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
